Mes,CostoMensual,CostoAcumulado,PctAcumulado
2026-07-01,27000.0,27000.0,3.25
2026-08-01,28800.0,55800.0,6.72
2026-09-01,42600.0,98400.0,11.86
2026-10-01,62100.0,160500.0,19.34
2026-11-01,70400.62,230900.62,27.83
2026-12-01,147214.38,378115.0,45.57
2027-01-01,77810.0,455925.0,54.95
2027-02-01,29600.0,485525.0,58.51
2027-03-01,72461.29,557986.29,67.25
2027-04-01,39777.05,597763.33,72.04
2027-05-01,19004.87,616768.2,74.33
2027-06-01,27657.63,644425.83,77.66
2027-07-01,33018.33,677444.17,81.64
2027-08-01,33018.33,710462.5,85.62
2027-09-01,43536.7,753999.2,90.87
2027-10-01,41560.8,795560.0,95.88
2027-11-01,25360.0,820920.0,98.93
2027-12-01,8840.0,829760.0,100.0
