Recurso,Tipo,Tarifa,UnidadTarifa,CostoTotal,NumTareas
"Gerente de Proyecto","Trabajo",600,"por día",27000,2
"Ingeniero Residente","Trabajo",450,"por día",31500,4
"Topógrafo","Trabajo",300,"por día",9000,2
"Especialista Ambiental","Trabajo",350,"por día",10500,1
"Laboratorista (Control de Calidad)","Trabajo",280,"por día",9800,2
"Cuadrilla Movimiento de Tierras","Trabajo",1200,"por día",180000,6
"Cuadrilla de Drenaje","Trabajo",900,"por día",99000,4
"Cuadrilla de Pavimento","Trabajo",1500,"por día",142500,4
"Cuadrilla de Señalización","Trabajo",700,"por día",39900,4
"Maquinaria Pesada (excavadora/motoniveladora)","Trabajo",2000,"por día",280000,5
"Material Granular (m3)","Material",25,"por unidad",75,3
"Mezcla Asfáltica (ton)","Material",95,"por unidad",95,1
"Concreto Estructural (m3)","Material",130,"por unidad",390,3
