ID,WBS,Fase,Tarea,Nivel,EsHito,EsCritica,Inicio,Fin,Duracion_dias,Avance_pct,HolguraTotal_dias,Costo,Recursos,Predecesoras
1,1,"Hitos clave","HITO: Inicio del Proyecto",1,"Sí","Sí",2026-07-06,2026-07-06,0,0,0,0,"",""
3,2.1,"1. Ingeniería, Permisos y Movilización","Estudios topográficos y geotécnicos",2,"No","Sí",2026-07-06,2026-07-31,20,0,0,15000,"Topógrafo, Ingeniero Residente","1"
4,2.2,"1. Ingeniería, Permisos y Movilización","Diseño geométrico y estructural del pavimento",2,"No","Sí",2026-08-03,2026-09-04,25,0,0,11250,"Ingeniero Residente","3"
5,2.3,"1. Ingeniería, Permisos y Movilización","Tramitación de licencia ambiental y permisos",2,"No","No",2026-08-03,2026-09-11,30,0,10,10500,"Especialista Ambiental","3"
6,2.4,"1. Ingeniería, Permisos y Movilización","Adquisición de derecho de vía (predios)",2,"No","No",2026-07-06,2026-08-28,40,0,20,24000,"Gerente de Proyecto","1"
7,2.5,"1. Ingeniería, Permisos y Movilización","Movilización de equipos e instalación de campamento",2,"No","Sí",2026-09-07,2026-09-25,15,0,0,36750,"Ingeniero Residente, Maquinaria Pesada","4"
8,2.6,"1. Ingeniería, Permisos y Movilización","HITO: Permisos aprobados e inicio físico de obra",2,"Sí","Sí",2026-09-25,2026-09-25,0,0,0,0,"","5,6,7"
10,3.1,"2. Obras Preliminares","Replanteo topográfico del trazado",2,"No","Sí",2026-09-28,2026-10-09,10,0,0,3000,"Topógrafo","8"
11,3.2,"2. Obras Preliminares","Desmonte, descapote y limpieza",2,"No","Sí",2026-10-12,2026-11-06,20,0,0,64000,"Cuadrilla Movimiento de Tierras, Maquinaria Pesada","10"
12,3.3,"2. Obras Preliminares","Demoliciones y remoción de obstáculos",2,"No","No",2026-10-19,2026-10-30,10,0,295,12000,"Cuadrilla Movimiento de Tierras","11CC+5"
14,4.1,"3. Movimiento de Tierras","Excavación en corte",2,"No","Sí",2026-11-09,2027-01-08,45,0,0,144000,"Cuadrilla Movimiento de Tierras, Maquinaria Pesada","11"
15,4.2,"3. Movimiento de Tierras","Conformación de terraplenes (relleno)",2,"No","Sí",2026-11-30,2027-01-22,40,0,0,128025,"Cuadrilla Movimiento de Tierras, Maquinaria Pesada, Material Granular","14CC+15"
16,4.3,"3. Movimiento de Tierras","Conformación y compactación de subrasante",2,"No","Sí",2027-01-25,2027-02-26,25,0,0,37000,"Cuadrilla Movimiento de Tierras, Laboratorista","15"
18,5.1,"4. Obras de Drenaje","Excavación para estructuras de drenaje",2,"No","Sí",2027-03-01,2027-03-26,20,0,0,58000,"Cuadrilla de Drenaje, Maquinaria Pesada","16"
19,5.2,"4. Obras de Drenaje","Construcción de alcantarillas",2,"No","Sí",2027-03-29,2027-05-07,30,0,0,27130,"Cuadrilla de Drenaje, Concreto Estructural","18"
20,5.3,"4. Obras de Drenaje","Construcción de box culvert (paso de agua)",2,"No","No",2027-03-15,2027-04-30,35,0,165,31630,"Cuadrilla de Drenaje, Concreto Estructural","18CC+10"
21,5.4,"4. Obras de Drenaje","Cunetas, bordillos y subdrenajes",2,"No","Sí",2027-05-10,2027-06-11,25,0,0,22630,"Cuadrilla de Drenaje, Concreto Estructural","19"
23,6.1,"5. Estructura de Pavimento","Subbase granular",2,"No","Sí",2027-06-14,2027-07-23,30,0,0,45025,"Cuadrilla de Pavimento, Material Granular","16,21"
24,6.2,"5. Estructura de Pavimento","Base granular",2,"No","Sí",2027-07-26,2027-09-03,30,0,0,45025,"Cuadrilla de Pavimento, Material Granular","23"
25,6.3,"5. Estructura de Pavimento","Imprimación asfáltica",2,"No","Sí",2027-09-06,2027-09-17,10,0,0,15000,"Cuadrilla de Pavimento","24"
26,6.4,"5. Estructura de Pavimento","Carpeta asfáltica en caliente",2,"No","Sí",2027-09-20,2027-10-22,25,0,0,37595,"Cuadrilla de Pavimento, Mezcla Asfáltica","25"
28,7.1,"6. Obras Complementarias y Seguridad Vial","Señalización horizontal (demarcación)",2,"No","No",2027-10-25,2027-11-09,12,0,3,8400,"Cuadrilla de Señalización","26"
29,7.2,"6. Obras Complementarias y Seguridad Vial","Señalización vertical",2,"No","No",2027-09-23,2027-10-06,10,0,52,7000,"Cuadrilla de Señalización","26CC+3"
30,7.3,"6. Obras Complementarias y Seguridad Vial","Defensas metálicas (barreras de contención)",2,"No","Sí",2027-10-25,2027-11-12,15,0,0,10500,"Cuadrilla de Señalización","26"
31,7.4,"6. Obras Complementarias y Seguridad Vial","Iluminación vial",2,"No","No",2027-09-20,2027-10-15,20,0,20,14000,"Cuadrilla de Señalización","26CC"
33,8.1,"7. Cierre y Entrega","Limpieza final y paisajismo",2,"No","Sí",2027-11-15,2027-11-26,10,0,0,12000,"Cuadrilla Movimiento de Tierras","28,30,31"
34,8.2,"7. Cierre y Entrega","Pruebas, ensayos y control de calidad final",2,"No","Sí",2027-11-29,2027-12-10,10,0,0,7300,"Laboratorista, Ingeniero Residente","33"
35,8.3,"7. Cierre y Entrega","Liquidación y acta de recepción",2,"No","Sí",2027-12-13,2027-12-17,5,0,0,3000,"Gerente de Proyecto","34"
36,8.4,"7. Cierre y Entrega","HITO: Entrega Final de la Obra",2,"Sí","Sí",2027-12-17,2027-12-17,0,0,0,0,"","35"
